"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"ELEMENT14";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OTHER";"PROD_ID";"STOREFRONT_ID";"URL";"VALUE";
"C1";"20pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C2";"20pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1.0uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"C5";"1.0uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"D1";"";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"D3";"";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"D4";"";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"D5";"";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"D6";"";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"D7";"";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"D9";"1N4148";"DIODESOD-323F";"SOD-323F";"Diode";"";"";"";"";"";"";"";"DIO-08378";"";"";"";
"D10";"Zener";"DIODESOD-323F";"SOD-323F";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"D11";"";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"FTDI-SERIAL-HEADER";"HEADER-06X1-MALE";"HEADER-06X1-MALE";"06X1-PTH";"6 x 0.1 inch Header";"";"";"";"";"";"";"4UCON 00834";"";"";"http://www.4uconnector.com/online/SearchPro.asp?FormName=ProSearch&FormAction=search&s_GroupNo=&s_keyword=00834";"";
"IC1";"ATMEGA168TQFP-08";"ATMEGA168TQFP-08";"TQFP32-08";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"7824DT";"7824DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";
"IC4";"L298";"L298";"MULTIWATT-15";"DUAL FULL-BRIDGE DRIVER";"";"";"";"L298N";"1589425";"32M1527";"";"";"";"";"";
"ICSP-PROG-HEADER";"AVRISP-6";"AVRISP-6";"AVRISP";"AVR ISP HEADER";"";"";"";"";"";"";"";"";"";"";"";
"J1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";"";"";"";"";"";"";"CONN-08197";"";"";"";
"J2";"";"M03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"Header 3";"";"";"";"";"";"";"";"CONN-08288";"";"";"";
"J3";"";"M03-SCREW-5MM";"SCREWTERMINAL-5MM-3";"Header 3";"";"";"";"";"";"";"";"CONN-10134";"PRT-08433";"";"";
"J4";"";"M03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"Header 3";"";"";"";"";"";"";"";"CONN-08288";"";"";"";
"J5";"";"M03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"Header 3";"";"";"";"";"";"";"";"CONN-08288";"";"";"";
"J6";"";"M03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"Header 3";"";"";"";"";"";"";"";"CONN-08288";"";"";"";
"J7";"";"M03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"Header 3";"";"";"";"";"";"";"";"CONN-08288";"";"";"";
"JP1";"JUMPER-PAD-2-NOYES_SILK";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";"";"";"";"";"";"";"";
"K2";"G5LE";"G5LE";"G5LE";"RELAY";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED5";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";
"OK1";"4N27SM";"4N27SM";"DIL6-SMD";"General Purpose 6-Pin Phototransistor Optocouplers";"";"";"FAIRCHILD SEMICONDUCTOR";"4N27S-M";"unknown";"05C3300";"";"";"";"";"";
"OK2";"4N27SM";"4N27SM";"DIL6-SMD";"General Purpose 6-Pin Phototransistor Optocouplers";"";"";"FAIRCHILD SEMICONDUCTOR";"4N27S-M";"unknown";"05C3300";"";"";"";"";"";
"Q1";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Generic NPN BJT";"";"";"";"";"";"";"";"TRANS-08049";"";"";"MMBT2222A";
"R1";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R2";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R2(SMD)";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R3";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R4";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R6";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R7";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R8";"240";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R9";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R11";"240";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R12";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R13";"3k";"RESISTOR0402";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R14";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R15";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"SV2";"";"FE08-1";"FE08";"FEMALE HEADER";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"SV3";"";"FE08-1";"FE08";"FEMALE HEADER";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"SW2";"MOMENTARYBUTTON";"MOMENTARYBUTTON";"SPST_NO_SMD";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"CRYSTALS-NOGND-HC49";"CRYSTALS-NOGND-HC49";"HC49";"CRYSTALS CAN NOT GROUNDED";"";"";"";"";"";"";"";"";"";"";"";
"X1-MOT1";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"";"";"237-102";"unknown";"70K9898";"";"";"";"";"";
"X2-MOT2";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"";"";"237-102";"unknown";"70K9898";"";"";"";"";"";
